name,yearAdopted,validity,incomeTax,estateTax,transferSalesTax,directAscendingTax,directDescendingTax,collateralLineTax,nonRelativeTax,taxCompanyRealEstate,dogTax,"entertainmentTax
"
Givrins,2019.00,2020.00,67.00,0.90,50.00,-,-,-,100.00,-,80.-,-
Gland,2019.00,2020.00,61.00,1.00,50.00,50.00,50.00,100.00,100.00,50.00,100.-,-
Gollion,2019.00,2020.00,74.00,1.00,50.00,100.00,100.00,100.00,100.00,50.00,100.-,10
Goumoëns,2019.00,2020.00,75.50,1.00,50.00,20.00,20.00,50.00,100.00,50.00,100.-,-
Grancy,2016.00,2021.00,70.00,1.00,50.00,100.00,100.00,100.00,100.00,50.00,40.-,-
Grandcour,2019.00,2020.00,73.50,1.00,50.00,-,-,100.00,100.00,50.00,50.-,-
Grandevent,2019.00,2020.00,68.00,1.00,50.00,30.00,30.00,50.00,75.00,50.00,50.-,5
Grandson,Référendum,,69.00,1.00,50.00,100.00,100.00,100.00,100.00,50.00,60.-,-
Grens,2019.00,2020.00,62.00,1.00,50.00,100.00,-,100.00,100.00,50.00,50.-,5
Gryon,2019.00,2020.00,73.50,1.50,50.00,50.00,50.00,50.00,100.00,50.00,100.-,-
Henniez,2019.00,2020.00,69.00,1.00,50.00,50.00,50.00,100.00,100.00,30.00,20.-,-
Hermenches,2019.00,2020.00,73.50,0.60,50.00,-,-,90.00,100.00,50.00,50.-,10
Jongny,2019.00,2020.00,69.50,1.20,50.00,50.00,50.00,100.00,100.00,50.00,100.-,-
Jorat-Menthue,2019.00,2020.00,70.50,1.00,50.00,50.00,50.00,100.00,100.00,50.00,100.-,-
Jorat-Mézières,2019.00,2020.00,73.00,1.00,50.00,50.00,50.00,100.00,100.00,50.00,60.-,10
Jouxtens-Mézery,2019.00,2020.00,59.00,1.00,50.00,50.00,-,50.00,50.00,50.00,0.60p/Fr,-
Juriens,2018.00,2019.00,79.00,1.00,50.00,100.00,100.00,100.00,100.00,50.00,80.-,-
L'Abbaye,2019.00,2022.00,76.00,1.00,50.00,100.00,50.00,70.00,100.00,25.00,100.-,-
L'Abergement,2019.00,2020.00,81.00,1.20,50.00,50.00,50.00,100.00,100.00,-,40.-,-
L'Isle,2019.00,2020.00,75.00,1.00,50.00,100.00,100.00,100.00,100.00,50.00,100.-,10
L'Orient (fraction),2016.00,2021.00,10.00,-,-,-,-,-,-,-,-,-
La Chaux (Cossonay),2017.00,2021.00,77.00,1.20,50.00,50.00,50.00,100.00,100.00,50.00,50.-,10
La Praz,2016.00,2021.00,83.00,0.90,50.00,50.00,50.00,95.00,95.00,-,40.-,-
La Rippe,2019.00,2020.00,65.00,1.00,50.00,-,-,50.00,100.00,50.00,100.-,-
La Sarraz,2019.00,2020.00,66.00,1.00,50.00,50.00,-,100.00,100.00,50.00,100.-,10
La Tour-de-Peilz,2019.00,2021.00,64.00,1.20,50.00,100.00,-,100.00,100.00,50.00,100.-,-
Lausanne,2019.00,2020.00,78.50,1.50,50.00,100.00,100.00,100.00,100.00,50.00,90.-,14
Lavey-Morcles,2019.00,2021.00,71.50,1.30,50.00,50.00,50.00,100.00,100.00,50.00,100.-,50 cts
Lavigny,2019.00,2020.00,73.00,1.50,50.00,50.00,50.00,100.00,100.00,50.00,80.-,-
